time;input thrust;input tilt;x_drone;y_drone;theta;xdot_drone;ydot_drone
1.48;50;0;-15.1975;6.25226;0;-17.5944;7.23835
1.49;50;0;-15.3735;6.32464;0;-17.6495;7.26101
1.5;50;0;-15.55;6.39726;0;-17.7039;7.28339
1.51;50;0;-15.727;6.47009;0;-17.7576;7.30548
1.52;50;0;-15.9046;6.54314;0;-17.8106;7.32729
1.53;50;0;-16.0827;6.61642;0;-17.8629;7.34881
1.54;50;0;-16.2613;6.6899;0;-17.9146;7.37007
1.55;50;0;-16.4405;6.76361;0;-17.9656;7.39104
1.56;50;0;-16.6201;6.83752;0;-18.0159;7.41175
1.57;50;0;-16.8003;6.91163;0;-18.0656;7.43219
1.58;50;0;-16.9809;6.98596;0;-18.1146;7.45236
1.59;50;0;-17.1621;7.06048;0;-18.163;7.47227
1.6;50;0;-17.3437;7.1352;0;-18.2108;7.49191
1.61;50;0;-17.5258;7.21012;0;-18.2579;7.5113
1.62;50;0;-17.7084;7.28523;0;-18.3044;7.53044
1.63;50;0;-17.8914;7.36054;0;-18.3503;7.54932
1.64;50;0;-18.0749;7.43603;0;-18.3956;7.56796
1.65;50;0;-18.2589;7.51171;0;-18.4403;7.58635
1.66;50;0;-18.4433;7.58757;0;-18.4844;7.60449
1.67;50;0;-18.6281;7.66362;0;-18.5279;7.62239
1.68;50;0;-18.8134;7.73984;0;-18.5709;7.64005
1.69;50;0;-18.9991;7.81624;0;-18.6132;7.65748
1.7;50;0;-19.1853;7.89282;0;-18.655;7.67467
1.71;50;0;-19.3718;7.96957;0;-18.6962;7.69163
1.72;50;0;-19.5588;8.04648;0;-18.7369;7.70837
1.73;50;0;-19.7461;8.12357;0;-18.777;7.72488
1.74;50;0;-19.9339;8.20081;0;-18.8166;7.74116
1.75;50;0;-20.1221;8.27823;0;-18.8557;7.75723
1.76;50;0;-20.3106;8.3558;0;-18.8942;7.77307
1.77;50;0;-20.4996;8.43353;0;-18.9322;7.7887
1.78;50;0;-20.6889;8.51142;0;-18.9697;7.80412
1.79;50;0;-20.8786;8.58946;0;-19.0066;7.81933
1.8;50;0;-21.0687;8.66765;0;-19.0431;7.83432
1.81;50;0;-21.2591;8.74599;0;-19.079;7.84912
1.82;50;0;-21.4499;8.82448;0;-19.1145;7.86371
1.83;50;0;-21.641;8.90312;0;-19.1495;7.8781
1.84;50;0;-21.8325;8.9819;0;-19.184;7.89229
1.85;50;0;-22.0244;9.06083;0;-19.218;7.90628
1.86;50;0;-22.2165;9.13989;0;-19.2515;7.92008
1.87;50;0;-22.4091;9.21909;0;-19.2846;7.93369
1.88;50;0;-22.6019;9.29843;0;-19.3172;7.94711
1.89;50;0;-22.7951;9.3779;0;-19.3494;7.96034
1.9;50;0;-22.9886;9.4575;0;-19.3811;7.97339
1.91;50;0;-23.1824;9.53723;0;-19.4124;7.98626
1.92;50;0;-23.3765;9.6171;0;-19.4432;7.99895
1.93;50;0;-23.5709;9.69709;0;-19.4736;8.01145
1.94;50;0;-23.7657;9.7772;0;-19.5036;8.02379
1.95;50;0;-23.9607;9.85744;0;-19.5332;8.03595
1.96;50;0;-24.156;9.9378;0;-19.5623;8.04794
1.97;50;0;-24.3517;10.0183;0;-19.5911;8.05976
1.98;50;0;-24.5476;10.0989;0;-19.6194;8.07141
1.99;50;0;-24.7438;10.1796;0;-19.6473;8.0829
2;50;0;-24.9402;10.2604;0;-19.6748;8.09423
2.01;50;0;-25.137;10.3414;0;-19.702;8.10539
2.02;50;0;-25.334;10.4224;0;-19.7287;8.1164
2.03;50;0;-25.5313;10.5036;0;-19.7551;8.12725
2.04;50;0;-25.7289;10.5849;0;-19.7811;8.13795
2.05;50;0;-25.9267;10.6662;0;-19.8067;8.14849
2.06;50;0;-26.1247;10.7477;0;-19.832;8.15888
2.07;50;0;-26.3231;10.8293;0;-19.8569;8.16913
2.08;50;0;-26.5216;10.911;0;-19.8815;8.17923
2.09;50;0;-26.7204;10.9928;0;-19.9056;8.18918
2.1;50;0;-26.9195;11.0747;0;-19.9295;8.19899
2.11;50;0;-27.1188;11.1567;0;-19.953;8.20866
2.12;50;0;-27.3183;11.2388;0;-19.9762;8.21819
2.13;50;0;-27.5181;11.3209;0;-19.999;8.22759
2.14;50;0;-27.7181;11.4032;0;-20.0215;8.23685
2.15;50;0;-27.9183;11.4856;0;-20.0437;8.24597
2.16;50;0;-28.1187;11.568;0;-20.0655;8.25497
2.17;50;0;-28.3194;11.6506;0;-20.0871;8.26383
2.18;50;0;-28.5202;11.7332;0;-20.1083;8.27256
2.19;50;0;-28.7213;11.816;0;-20.1292;8.28117
2.2;50;0;-28.9226;11.8988;0;-20.1499;8.28966
2.21;50;0;-29.1241;11.9817;0;-20.1702;8.29802
2.22;50;0;-29.3258;12.0646;0;-20.1902;8.30626
2.23;50;0;-29.5277;12.1477;0;-20.21;8.31437
2.24;50;0;-29.7298;12.2309;0;-20.2294;8.32238
2.25;50;0;-29.9321;12.3141;0;-20.2486;8.33026
2.26;50;0;-30.1346;12.3974;0;-20.2675;8.33803
2.27;50;0;-30.3373;12.4808;0;-20.2861;8.34568
2.28;50;0;-30.5401;12.5642;0;-20.3044;8.35323
2.29;50;0;-30.7432;12.6477;0;-20.3225;8.36066
2.3;50;0;-30.9464;12.7314;0;-20.3403;8.36799
2.31;50;0;-31.1498;12.815;0;-20.3578;8.3752
2.32;50;0;-31.3534;12.8988;0;-20.3751;8.38232
2.33;50;0;-31.5571;12.9826;0;-20.3921;8.38932
2.34;50;0;-31.7611;13.0665;0;-20.4089;8.39623
2.35;50;0;-31.9652;13.1505;0;-20.4254;8.40303
2.36;50;0;-32.1694;13.2345;0;-20.4417;8.40973
2.37;50;0;-32.3738;13.3186;0;-20.4578;8.41633
2.38;50;0;-32.5784;13.4028;0;-20.4736;8.42284
2.39;50;0;-32.7831;13.487;0;-20.4892;8.42925
2.4;50;0;-32.988;13.5713;0;-20.5045;8.43557
2.41;50;0;-33.1931;13.6556;0;-20.5197;8.44179
2.42;50;0;-33.3983;13.74;0;-20.5346;8.44792
2.43;50;0;-33.6036;13.8245;0;-20.5492;8.45396
2.44;50;0;-33.8091;13.9091;0;-20.5637;8.45991
2.45;50;0;-34.0147;13.9937;0;-20.578;8.46577
2.46;50;0;-34.2205;14.0783;0;-20.592;8.47155
2.47;50;0;-34.4264;14.163;0;-20.6058;8.47724
2.48;50;0;-34.6325;14.2478;0;-20.6195;8.48284
2.49;50;0;-34.8387;14.3326;0;-20.6329;8.48836
2.5;50;0;-35.045;14.4175;0;-20.6461;8.4938
2.51;50;0;-35.2515;14.5025;0;-20.6591;8.49916
2.52;50;0;-35.4581;14.5875;0;-20.672;8.50444
2.53;50;0;-35.6648;14.6725;0;-20.6846;8.50964
2.54;50;0;-35.8716;14.7576;0;-20.697;8.51476
2.55;50;0;-36.0786;14.8427;0;-20.7093;8.51981
2.56;50;0;-36.2857;14.9279;0;-20.7214;8.52478
2.57;50;0;-36.4929;15.0132;0;-20.7333;8.52968
2.58;50;0;-36.7003;15.0985;0;-20.745;8.5345
2.59;50;0;-36.9077;15.1838;0;-20.7566;8.53925
2.6;50;0;-37.1153;15.2692;0;-20.7679;8.54393
2.61;50;0;-37.323;15.3547;0;-20.7792;8.54854
2.62;50;0;-37.5307;15.4401;0;-20.7902;8.55308
2.63;50;0;-37.7386;15.5257;0;-20.8011;8.55756
2.64;50;0;-37.9467;15.6113;0;-20.8118;8.56196
2.65;50;0;-38.1548;15.6969;0;-20.8223;8.5663
2.66;50;0;-38.363;15.7825;0;-20.8327;8.57058
2.67;50;0;-38.5713;15.8682;0;-20.8429;8.57479
2.68;50;0;-38.7798;15.954;0;-20.853;8.57894
2.69;50;0;-38.9883;16.0398;0;-20.863;8.58302
2.7;50;0;-39.1969;16.1256;0;-20.8727;8.58705
2.71;50;0;-39.4056;16.2115;0;-20.8824;8.59101
2.72;50;0;-39.6145;16.2974;0;-20.8919;8.59491
2.73;50;0;-39.8234;16.3833;0;-20.9012;8.59876
2.74;50;0;-40.0324;16.4693;0;-20.9104;8.60254
2.75;50;0;-40.2415;16.5554;0;-20.9195;8.60627
2.76;50;0;-40.4507;16.6414;0;-20.9284;8.60995
2.77;50;0;-40.66;16.7275;0;-20.9372;8.61357
2.78;50;0;-40.8694;16.8137;0;-20.9459;8.61713
2.79;50;0;-41.0788;16.8998;0;-20.9544;8.62064
2.8;50;0;-41.2884;16.986;0;-20.9628;8.6241
2.81;50;0;-41.498;17.0723;0;-20.9711;8.6275
2.82;50;0;-41.7077;17.1585;0;-20.9792;8.63085
2.83;50;0;-41.9175;17.2449;0;-20.9873;8.63416
2.84;50;0;-42.1274;17.3312;0;-20.9952;8.63741
2.85;50;0;-42.3373;17.4176;0;-21.0029;8.64061
2.86;50;0;-42.5473;17.504;0;-21.0106;8.64377
2.87;50;0;-42.7574;17.5904;0;-21.0182;8.64687
2.88;50;0;-42.9676;17.6769;0;-21.0256;8.64993
2.89;50;0;-43.1779;17.7634;0;-21.0329;8.65295
2.9;50;0;-43.3882;17.8499;0;-21.0401;8.65591
2.91;50;0;-43.5986;17.9365;0;-21.0472;8.65884
2.92;50;0;-43.8091;18.0231;0;-21.0542;8.66172
2.93;50;0;-44.0196;18.1097;0;-21.0611;8.66455
2.94;50;0;-44.2302;18.1963;0;-21.0679;8.66734
2.95;50;0;-44.4409;18.283;0;-21.0746;8.67009
2.96;50;0;-44.6517;18.3697;0;-21.0812;8.6728
2.97;50;0;-44.8625;18.4564;0;-21.0877;8.67547
2.98;50;0;-45.0734;18.5432;0;-21.094;8.67809
2.99;50;0;-45.2843;18.63;0;-21.1003;8.68068
3;50;30;-45.4953;18.7168;0;-21.1065;8.68322
3.01;50;30;-45.7064;18.8036;0.3;-21.1126;8.68573
3.02;50;30;-45.9175;18.8905;0.6;-21.1112;8.68076
3.03;50;30;-46.1286;18.9773;0.9;-21.0881;8.65416
3.04;50;30;-46.3395;19.0638;1.2;-21.0315;8.59391
3.05;50;30;-46.5498;19.1497;1.5;-20.9326;8.49112
3.06;50;30;-46.7591;19.2347;1.8;-20.7868;8.34087
3.07;50;30;-46.967;19.3181;2.1;-20.5937;8.14263
3.08;50;30;-47.1729;19.3995;2.4;-20.3575;7.90029
3.09;50;30;-47.3765;19.4785;2.7;-20.0865;7.62178
3.1;50;30;-47.5774;19.5547;3;-19.7919;7.31842
3.11;50;30;-47.7753;19.6279;3.3;-19.4877;7.00384
3.12;50;30;-47.9702;19.6979;3.6;-19.1886;6.69282
3.13;50;30;-48.162;19.7649;3.9;-18.9092;6.39992
3.14;50;30;-48.3511;19.8289;4.2;-18.6624;6.13825
3.15;50;30;-48.5378;19.8902;4.5;-18.4584;5.91824
3.16;50;30;-48.7223;19.9494;4.8;-18.304;5.74677
3.17;50;30;-48.9054;20.0069;5.1;-18.2016;5.6265
3.18;50;30;-49.0874;20.0632;5.4;-18.149;5.55566
3.19;50;30;-49.2689;20.1187;5.7;-18.1399;5.5282
3.2;50;30;-49.4503;20.174;6;-18.1644;5.53427
3.21;50;30;-49.6319;20.2293;6.3;-18.2095;5.56117
3.22;50;30;-49.814;20.2849;6.6;-18.2605;5.59442
3.23;50;30;-49.9966;20.3409;6.9;-18.3027;5.61908
3.24;50;30;-50.1797;20.3971;7.2;-18.3218;5.62107
3.25;50;30;-50.3629;20.4533;7.5;-18.3061;5.58845
3.26;50;30;-50.5459;20.5092;7.8;-18.2471;5.51247
3.27;50;30;-50.7284;20.5643;8.1;-18.1402;5.38834
3.28;50;30;-50.9098;20.6182;8.4;-17.9852;5.21566
3.29;50;30;-51.0897;20.6703;8.7;-17.7864;4.99845
3.3;50;30;-51.2675;20.7203;9;-17.552;4.7448
3.31;50;30;-51.4431;20.7678;9.3;-17.2938;4.46608
3.32;50;30;-51.616;20.8124;9.6;-17.0255;4.17602
3.33;50;30;-51.7862;20.8542;9.9;-16.7619;3.88941
3.34;50;30;-51.9539;20.8931;10.2;-16.5175;3.6208
3.35;50;30;-52.119;20.9293;10.5;-16.3054;3.38325
3.36;50;30;-52.2821;20.9631;10.8;-16.1356;3.18711
3.37;50;30;-52.4435;20.995;11.1;-16.0148;3.03915
3.38;50;30;-52.6036;21.0254;11.4;-15.9451;2.94191
3.39;50;30;-52.763;21.0548;11.7;-15.9245;2.89349
3.4;50;30;-52.9223;21.0837;12;-15.9465;2.88771
3.41;50;30;-53.0818;21.1126;12.3;-16.001;2.91466
3.42;50;30;-53.2418;21.1418;12.6;-16.0751;2.96154
3.43;50;30;-53.4025;21.1714;12.9;-16.1541;3.01388
3.44;50;30;-53.5641;21.2015;13.2;-16.2231;3.05675
3.45;50;30;-53.7263;21.2321;13.5;-16.2681;3.07614
3.46;50;30;-53.889;21.2629;13.8;-16.2775;3.06022
3.47;50;30;-54.0517;21.2935;14.1;-16.2427;3.00036
3.48;50;30;-54.2142;21.3235;14.4;-16.1595;2.89193
3.49;50;30;-54.3758;21.3524;14.7;-16.0278;2.7347
3.5;50;30;-54.536;21.3797;15;-15.852;2.53285
3.51;50;30;-54.6946;21.4051;15.3;-15.6405;2.29458
3.52;50;30;-54.851;21.428;15.6;-15.4051;2.0314
3.53;50;30;-55.005;21.4483;15.9;-15.1597;1.75709
3.54;50;30;-55.1566;21.4659;16.2;-14.9189;1.48644
3.55;50;30;-55.3058;21.4808;16.5;-14.6975;1.23402
3.56;50;30;-55.4528;21.4931;16.8;-14.5082;1.01279
3.57;50;30;-55.5979;21.5032;17.1;-14.361;0.832997
3.58;50;30;-55.7415;21.5115;17.4;-14.2625;0.701268
3.59;50;30;-55.8841;21.5186;17.7;-14.2148;0.619988
3.6;50;30;-56.0263;21.5248;18;-14.2155;0.587096
3.61;50;30;-56.1684;21.5306;18.3;-14.2582;0.596264
3.62;50;30;-56.311;21.5366;18.6;-14.3325;0.637454
3.63;50;30;-56.4543;21.543;18.9;-14.4254;0.697809
3.64;50;30;-56.5986;21.5499;19.2;-14.5225;0.762805
3.65;50;30;-56.7438;21.5576;19.5;-14.6086;0.817544
3.66;50;30;-56.8899;21.5658;19.8;-14.67;0.848092
3.67;50;30;-57.0366;21.5742;20.1;-14.695;0.842725
3.68;50;30;-57.1835;21.5827;20.4;-14.6754;0.792974
3.69;50;30;-57.3303;21.5906;20.7;-14.6069;0.694381
3.7;50;30;-57.4764;21.5975;21;-14.4897;0.546893
3.71;50;30;-57.6212;21.603;21.3;-14.3284;0.354862
3.72;50;30;-57.7645;21.6066;21.6;-14.1315;0.126647
3.73;50;30;-57.9058;21.6078;21.9;-13.9108;-0.126128
3.74;50;30;-58.045;21.6066;22.2;-13.6804;-0.389618
3.75;50;30;-58.1818;21.6027;22.5;-13.4549;-0.648985
3.76;50;30;-58.3163;21.5962;22.8;-13.2489;-0.889722
3.77;50;30;-58.4488;21.5873;23.1;-13.0752;-1.09894
3.78;50;30;-58.5795;21.5763;23.4;-12.9438;-1.26651
3.79;50;30;-58.709;21.5636;23.7;-12.8608;-1.386
3.8;50;30;-58.8376;21.5498;24;-12.8283;-1.45518
3.81;50;30;-58.9659;21.5352;24.3;-12.8438;-1.47633
3.82;50;30;-59.0943;21.5204;24.6;-12.9006;-1.45592
3.83;50;30;-59.2233;21.5059;24.9;-12.9883;-1.40415
3.84;50;30;-59.3532;21.4918;25.2;-13.0939;-1.33396
3.85;50;30;-59.4841;21.4785;25.5;-13.2028;-1.25992
3.86;50;30;-59.6162;21.4659;25.8;-13.2999;-1.1969
3.87;50;30;-59.7492;21.4539;26.1;-13.3717;-1.15875
3.88;50;30;-59.8829;21.4423;26.4;-13.4064;-1.15707
3.89;50;30;-60.017;21.4308;26.7;-13.3961;-1.20017
3.9;50;30;-60.1509;21.4188;27;-13.3366;-1.2923
3.91;50;30;-60.2843;21.4059;27.3;-13.2284;-1.43332
3.92;50;30;-60.4166;21.3915;27.6;-13.0761;-1.61868
3.93;50;30;-60.5473;21.3753;27.9;-12.8885;-1.83986
3.94;50;30;-60.6762;21.3569;28.2;-12.6774;-2.0851
3.95;50;30;-60.803;21.3361;28.5;-12.4569;-2.34047
3.96;50;30;-60.9276;21.3127;28.8;-12.2418;-2.59113
3.97;50;30;-61.05;21.2868;29.1;-12.0466;-2.82258
3.98;50;30;-61.1704;21.2585;29.4;-11.8839;-3.02205
3.99;50;30;-61.2893;21.2283;29.7;-11.7636;-3.17956
4;50;30;-61.4069;21.1965;30;-11.6917;-3.28885
4.01;50;30;-61.5238;21.1636;30.3;-11.6701;-3.34793
4.02;50;30;-61.6405;21.1302;30.6;-11.6961;-3.35926
4.03;50;30;-61.7575;21.0966;30.9;-11.7628;-3.32953
4.04;50;30;-61.8751;21.0633;31.2;-11.8599;-3.26909
4.05;50;30;-61.9937;21.0306;31.5;-11.974;-3.19099
4.06;50;30;-62.1135;20.9987;31.8;-12.0907;-3.10983
4.07;50;30;-62.2344;20.9676;32.1;-12.1949;-3.04046
4.08;50;30;-62.3563;20.9372;32.4;-12.2729;-2.99666
4.09;50;30;-62.479;20.9072;32.7;-12.3135;-2.98987
4.1;50;30;-62.6022;20.8773;33;-12.3087;-3.0282
4.11;50;30;-62.7253;20.847;33.3;-12.2544;-3.11572
4.12;50;30;-62.8478;20.8159;33.6;-12.1514;-3.25205
4.13;50;30;-62.9693;20.7833;33.9;-12.0045;-3.43244
4.14;50;30;-63.0894;20.749;34.2;-11.8227;-3.64817
4.15;50;30;-63.2076;20.7125;34.5;-11.6178;-3.88736
4.16;50;30;-63.3238;20.6737;34.8;-11.4039;-4.13597
4.17;50;30;-63.4378;20.6323;35.1;-11.196;-4.37914
4.18;50;30;-63.5498;20.5885;35.4;-11.0084;-4.60243
4.19;50;30;-63.6599;20.5425;35.7;-10.8537;-4.79316
4.2;50;30;-63.7684;20.4946;36;-10.7416;-4.94153
4.21;50;30;-63.8758;20.4451;36.3;-10.6779;-5.04148
4.22;50;30;-63.9826;20.3947;36.6;-10.6644;-5.09126
4.23;50;30;-64.0892;20.3438;36.9;-10.6981;-5.09357
4.24;50;30;-64.1962;20.2929;37.2;-10.772;-5.05533
4.25;50;30;-64.3039;20.2423;37.5;-10.8757;-4.98705
4.26;50;30;-64.4127;20.1925;37.8;-10.9957;-4.90188
4.27;50;30;-64.5226;20.1434;38.1;-11.1173;-4.81449
4.28;50;30;-64.6338;20.0953;38.4;-11.2259;-4.7397
